,duration,distance,ride_charge,misc_charge,total_fare,Year,Month_Number,Quarter,Day,Week_Number,Hour,Minute,Second,Ride_Revenue,Fare_Per_KM,Average_Speed
duration,1.0,0.01,-0.01,0.0,-0.01,,0.0,0.0,-0.01,0.0,0.0,-0.0,0.0,-0.01,-0.0,-0.61
distance,0.01,1.0,-0.0,-0.0,-0.0,,0.0,0.0,-0.01,-0.0,-0.01,0.0,-0.01,-0.0,-0.55,0.51
ride_charge,-0.01,-0.0,1.0,-0.0,1.0,,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.01,1.0,0.28,0.01
misc_charge,0.0,-0.0,-0.0,1.0,0.05,,0.0,0.0,0.0,0.0,-0.0,-0.0,0.01,0.05,0.02,-0.0
total_fare,-0.01,-0.0,1.0,0.05,1.0,,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.01,1.0,0.28,0.01
Year,,,,,,,,,,,,,,,,
Month_Number,0.0,0.0,0.0,0.0,0.0,,1.0,0.8,-0.6,0.91,0.0,0.01,0.0,0.0,-0.0,-0.0
Quarter,0.0,0.0,-0.0,0.0,-0.0,,0.8,1.0,-0.48,0.73,0.0,0.0,-0.0,-0.0,0.0,-0.0
Day,-0.01,-0.01,-0.0,0.0,-0.0,,-0.6,-0.48,1.0,-0.23,-0.0,-0.01,0.01,-0.0,0.0,-0.0
Week_Number,0.0,-0.0,0.0,0.0,0.0,,0.91,0.73,-0.23,1.0,-0.0,0.01,0.01,0.0,0.0,-0.01
Hour,0.0,-0.01,0.0,-0.0,0.0,,0.0,0.0,-0.0,-0.0,1.0,0.0,-0.01,0.0,-0.0,-0.01
Minute,-0.0,0.0,-0.0,-0.0,-0.0,,0.01,0.0,-0.01,0.01,0.0,1.0,0.0,-0.0,0.0,0.0
Second,0.0,-0.01,0.01,0.01,0.01,,0.0,-0.0,0.01,0.01,-0.01,0.0,1.0,0.01,0.01,-0.01
Ride_Revenue,-0.01,-0.0,1.0,0.05,1.0,,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.01,1.0,0.28,0.01
Fare_Per_KM,-0.0,-0.55,0.28,0.02,0.28,,-0.0,0.0,0.0,0.0,-0.0,0.0,0.01,0.28,1.0,-0.28
Average_Speed,-0.61,0.51,0.01,-0.0,0.01,,-0.0,-0.0,-0.0,-0.01,-0.01,0.0,-0.01,0.01,-0.28,1.0
