Column,Data Type
services,object
date,object
time,object
ride_status,object
source,object
destination,object
duration,int64
ride_id,object
distance,float64
ride_charge,float64
misc_charge,float64
total_fare,float64
payment_method,object
Year,int64
Month,object
Month_Number,int64
Quarter,int64
Day,int64
Weekday,object
Week_Number,int64
Hour,int64
Minute,int64
Second,int64
Time_Of_Day,object
Peak_Hour,object
Is_Weekend,bool
Ride_Revenue,float64
Distance_Category,object
Duration_Category,object
Fare_Category,object
Fare_Per_KM,float64
Average_Speed,float64
High_Value_Ride,bool
Cancelled,bool
Completed,bool
