,services,date,time,ride_status,source,destination,duration,ride_id,distance,ride_charge,misc_charge,total_fare,payment_method,Year,Month,Month_Number,Quarter,Day,Weekday,Week_Number,Hour,Minute,Second,Time_Of_Day,Peak_Hour,Is_Weekend,Ride_Revenue,Distance_Category,Duration_Category,Fare_Category,Fare_Per_KM,Average_Speed,High_Value_Ride,Cancelled,Completed
count,50000,50000,50000,50000,50000,50000,50000.0,50000,50000.0,50000.0,50000.0,50000.0,50000,50000.0,50000,50000.0,50000.0,50000.0,50000,50000.0,50000.0,50000.0,50000.0,50000,50000,50000,50000.0,50000,50000,50000,50000.0,50000.0,50000,50000,50000
unique,5,61,38006,2,12982,12977,,50000,,,,,5,,3,,,,7,,,,,5,2,2,,4,4,4,,,2,2,2
top,Bike,2024-08-03,03:28:59,Completed,Kothanur Landing,Gottigere Landing,,RD8626095378876003,,,,,Paytm,,July,,,,Monday,,,,,Morning,Non-Peak,False,,Very Long,Very Long,Premium,,,False,False,True
freq,15128,888,6,44964,23,23,,1,,,,,11315,,25552,,,,7432,,,,,14874,31052,36876,,35755,27132,29663,,,27518,44964,44964
mean,,,,,,,64.3201,,25.528243200000002,522.1871971999999,24.9749358,547.1440034,,2024.0,,7.03788,2.77446,15.74008,,28.88934,11.49008,29.46738,29.52004,,,,547.1440034,,,,43.74579080000001,35.3100414,,,
std,,,,,,,31.852335666568447,,14.177136033535687,260.52443329939564,13.711940557271802,260.8742124209691,,0.0,,0.6982369628551085,0.4179416249956901,8.829144956880786,,2.507129848731726,6.891749525180842,17.30889389567565,17.35415286698935,,,,260.8742124209691,,,,73.61630310120361,38.01501378647323,,,
min,,,,,,,10.0,,1.0,50.03,0.0,50.58,,2024.0,,6.0,2.0,1.0,,25.0,0.0,0.0,0.0,,,,50.58,,,,1.19,0.54,,,
25%,,,,,,,37.0,,13.26,309.95750000000004,13.79,334.7675,,2024.0,,7.0,3.0,8.0,,27.0,6.0,14.0,14.0,,,,334.7675,,,,12.49,12.44,,,
50%,,,,,,,64.0,,25.46,520.03,25.07,544.92,,2024.0,,7.0,3.0,16.0,,29.0,11.0,30.0,29.0,,,,544.92,,,,21.48,23.85,,,
75%,,,,,,,92.0,,37.86,733.2674999999999,36.06,758.415,,2024.0,,8.0,3.0,23.0,,31.0,17.0,44.0,45.0,,,,758.415,,,,41.4725,41.97,,,
max,,,,,,,119.0,,50.0,999.96,50.0,1048.8,,2024.0,,8.0,3.0,31.0,,33.0,23.0,59.0,59.0,,,,1048.8,,,,995.8,299.82,,,
