KPI,Value
Total Rides,50000
Completed Rides,44964
Cancelled Rides,5036
Completion Rate (%),89.93
Cancellation Rate (%),10.07
Total Revenue,27357200.17
Average Fare,547.14
Maximum Fare,1048.8
Minimum Fare,50.58
Average Distance,25.53
Maximum Distance,50.0
Minimum Distance,1.0
Average Duration,64.32
Maximum Duration,119
Minimum Duration,10
Average Speed,35.31
High Value Rides,22482
