Column,Missing Values,Percentage
services,0,0.0
date,0,0.0
time,0,0.0
ride_status,0,0.0
source,0,0.0
destination,0,0.0
duration,0,0.0
ride_id,0,0.0
distance,0,0.0
ride_charge,0,0.0
misc_charge,0,0.0
total_fare,0,0.0
payment_method,0,0.0
Year,0,0.0
Month,0,0.0
Month_Number,0,0.0
Quarter,0,0.0
Day,0,0.0
Weekday,0,0.0
Week_Number,0,0.0
Hour,0,0.0
Minute,0,0.0
Second,0,0.0
Time_Of_Day,0,0.0
Peak_Hour,0,0.0
Is_Weekend,0,0.0
Ride_Revenue,0,0.0
Distance_Category,0,0.0
Duration_Category,0,0.0
Fare_Category,0,0.0
Fare_Per_KM,0,0.0
Average_Speed,0,0.0
High_Value_Ride,0,0.0
Cancelled,0,0.0
Completed,0,0.0
