,Mean,Median,Minimum,Maximum,Standard Deviation,Variance,Skewness,Kurtosis
duration,64.32,64.0,10.0,119.0,31.85,1014.57,0.01,-1.21
distance,25.53,25.46,1.0,50.0,14.18,200.99,-0.0,-1.2
ride_charge,522.19,520.03,50.03,999.96,260.52,67872.98,0.02,-1.01
misc_charge,24.97,25.07,0.0,50.0,13.71,188.02,-0.0,-1.0
total_fare,547.14,544.92,50.58,1048.8,260.87,68055.35,0.02,-1.0
Year,2024.0,2024.0,2024.0,2024.0,0.0,0.0,0.0,0.0
Month_Number,7.04,7.0,6.0,8.0,0.7,0.49,-0.05,-0.95
Quarter,2.77,3.0,2.0,3.0,0.42,0.17,-1.31,-0.27
Day,15.74,16.0,1.0,31.0,8.83,77.95,0.01,-1.21
Week_Number,28.89,29.0,25.0,33.0,2.51,6.29,0.01,-1.2
Hour,11.49,11.0,0.0,23.0,6.89,47.5,0.0,-1.19
Minute,29.47,30.0,0.0,59.0,17.31,299.6,-0.0,-1.2
Second,29.52,29.0,0.0,59.0,17.35,301.17,0.0,-1.2
Ride_Revenue,547.14,544.92,50.58,1048.8,260.87,68055.35,0.02,-1.0
Fare_Per_KM,43.75,21.48,1.19,995.8,73.62,5419.36,4.99,33.18
Average_Speed,35.31,23.85,0.54,299.82,38.02,1445.14,2.61,8.63
